STATE_CODE,COUNTY_CODE,COUNTY,EPA_ID,SITE_LATITUDE,SITE_LONGITUDE
6,1,Alameda,,37.687526,-121.784217
6,1,Alameda,,37.743065,-122.169935
6,1,Alameda,,37.814781,-122.282347
6,1,Alameda,,37.793624,-122.263376
6,1,Alameda,,37.864767,-122.302741
6,1,Alameda,,37.701222,-121.903019
6,7,Butte,,39.76168,-121.84047
6,7,Butte,,39.76168,-121.84047
6,7,Butte,,39.77919,-121.59135
6,7,Butte,,39.327563,-121.668811
6,9,Calaveras,,38.20185,-120.680277
6,11,Colusa,,39.18919,-121.99887
6,11,Colusa,,39.18919,-121.99887
6,13,Contra Costa,,37.936013,-122.026154
6,13,Contra Costa,,37.936013,-122.026154
6,13,Contra Costa,,37.9604,-122.356811
6,15,Del Norte,,41.56095239,-124.0839642
6,15,Del Norte,,41.75613,-124.20347
6,17,El Dorado,,38.9248,-119.97
6,19,Fresno,,36.78538,-119.77321
6,19,Fresno,,36.78538,-119.77321
6,19,Fresno,,36.78538,-119.77321
6,19,Fresno,,36.78538,-119.77321
6,19,Fresno,,36.98511856,-119.6583393
6,19,Fresno,,36.198672,-120.101096
6,19,Fresno,,36.634225,-120.382331
6,19,Fresno,,36.710833,-119.7775
6,19,Fresno,,36.819449,-119.716433
6,19,Fresno,,36.819449,-119.716433
6,19,Fresno,,36.72639,-119.733
6,19,Fresno,,37.22063986,-119.155557
6,21,Glenn,,39.53387,-122.190834
6,23,Humboldt,,40.77678,-124.17949
6,25,Imperial,,32.67618,-115.48307
6,25,Imperial,,32.67618,-115.48307
6,25,Imperial,,32.67618,-115.48307
6,25,Imperial,,32.67618,-115.48307
6,25,Imperial,,32.97833,-115.53917
6,25,Imperial,,32.79222,-115.56306
6,27,Inyo,,37.360684,-118.330783
6,27,Inyo,,37.360684,-118.330783
6,27,Inyo,,36.487823,-117.871036
6,27,Inyo,,36.487823,-117.871036
6,29,Kern,,35.385574,-119.015009
6,29,Kern,,35.05055135,-118.1472936
6,29,Kern,,35.356615,-119.062613
6,29,Kern,,35.356615,-119.062613
6,29,Kern,,35.356615,-119.062613
6,29,Kern,,35.324636,-118.997627
6,29,Kern,,35.6429431,-117.7150665
6,29,Kern,,34.841567,-118.860588
6,29,Kern,,34.8219218,-118.8875977
6,31,Kings,,36.102244,-119.56565
6,31,Kings,,36.102244,-119.56565
6,31,Kings,,36.31567,-119.643447
6,33,Lake,,39.01893,-122.91333
6,37,Los Angeles,,34.1365,-117.92391
6,37,Los Angeles,,34.14435,-117.85036
6,37,Los Angeles,,34.06659,-118.22688
6,37,Los Angeles,,34.06659,-118.22688
6,37,Los Angeles,,34.06659,-118.22688
6,37,Los Angeles,,34.19925,-118.53276
6,37,Los Angeles,,34.19925,-118.53276
6,37,Los Angeles,,33.901389,-118.205
6,37,Los Angeles,,34.01029,-118.0685
6,37,Los Angeles,,34.01029,-118.0685
6,37,Los Angeles,,34.1326,-118.1272
6,37,Los Angeles,,34.1326,-118.1272
6,37,Los Angeles,,33.82376,-118.18921
